test,t,joint,joint_name,motor_id,can,desired,position,velocity,torque,online,error_code,pattern
single,0.000000,8,LF_Knee,3,can0,-1.021730,-1.060000,0.000000,0.000000,1,0,0
single,0.010069,8,LF_Knee,3,can0,-1.020212,-1.060000,0.000000,0.000000,1,0,0
single,0.020078,8,LF_Knee,3,can0,-1.018707,-1.060000,0.000000,0.000000,1,0,0
single,0.030086,8,LF_Knee,3,can0,-1.017210,-1.060000,0.000000,0.000000,1,0,0
single,0.040078,8,LF_Knee,3,can0,-1.015727,-1.060000,0.000000,0.000000,1,0,0
single,0.050074,8,LF_Knee,3,can0,-1.014258,-1.060000,0.000000,0.000000,1,0,0
single,0.060079,8,LF_Knee,3,can0,-1.012807,-1.060000,0.000000,0.000000,1,0,0
single,0.070087,8,LF_Knee,3,can0,-1.011378,-1.060000,0.000000,0.000000,1,0,0
single,0.080077,8,LF_Knee,3,can0,-1.009978,-1.060000,0.000000,0.000000,1,0,0
single,0.090277,8,LF_Knee,3,can0,-1.008579,-1.060000,0.000000,0.000000,0,0,0
single,0.100122,8,LF_Knee,3,can0,-1.007261,-1.060000,0.000000,0.000000,0,0,0
single,0.110106,8,LF_Knee,3,can0,-1.005961,-1.060000,0.000000,0.000000,0,0,0
single,0.120075,8,LF_Knee,3,can0,-1.004703,-1.060000,0.000000,0.000000,0,0,0
single,0.130076,8,LF_Knee,3,can0,-1.003483,-1.060000,0.000000,0.000000,0,0,0
single,0.140073,8,LF_Knee,3,can0,-1.002310,-1.060000,0.000000,0.000000,0,0,0
single,0.150072,8,LF_Knee,3,can0,-1.001186,-1.060000,0.000000,0.000000,0,0,0
single,0.160123,8,LF_Knee,3,can0,-1.000108,-1.060000,0.000000,0.000000,0,0,0
single,0.170388,8,LF_Knee,3,can0,-0.999064,-1.060000,0.000000,0.000000,0,0,0
single,0.180124,8,LF_Knee,3,can0,-0.998130,-1.060000,0.000000,0.000000,0,0,0
single,0.190120,8,LF_Knee,3,can0,-0.997229,-1.060000,0.000000,0.000000,0,0,0
single,0.200101,8,LF_Knee,3,can0,-0.996392,-1.060000,0.000000,0.000000,0,0,0
single,0.210084,8,LF_Knee,3,can0,-0.995618,-1.060000,0.000000,0.000000,0,0,0
single,0.220414,8,LF_Knee,3,can0,-0.994887,-1.060000,0.000000,0.000000,0,0,0
single,0.230069,8,LF_Knee,3,can0,-0.994269,-1.060000,0.000000,0.000000,0,0,0
single,0.240469,8,LF_Knee,3,can0,-0.993675,-1.060000,0.000000,0.000000,0,0,0
single,0.250103,8,LF_Knee,3,can0,-0.993193,-1.060000,0.000000,0.000000,0,0,0
single,0.260082,8,LF_Knee,3,can0,-0.992765,-1.060000,0.000000,0.000000,0,0,0
single,0.270620,8,LF_Knee,3,can0,-0.992392,-1.060000,0.000000,0.000000,0,0,0
single,0.280146,8,LF_Knee,3,can0,-0.992126,-1.060000,0.000000,0.000000,0,0,0
single,0.290124,8,LF_Knee,3,can0,-0.991920,-1.060000,0.000000,0.000000,0,0,0
single,0.300126,8,LF_Knee,3,can0,-0.991788,-1.060000,0.000000,0.000000,0,0,0
single,0.310145,8,LF_Knee,3,can0,-0.991732,-1.060000,0.000000,0.000000,0,0,0
single,0.320118,8,LF_Knee,3,can0,-0.991752,-1.060000,0.000000,0.000000,0,0,0
single,0.330126,8,LF_Knee,3,can0,-0.991848,-1.060000,0.000000,0.000000,0,0,0
single,0.340145,8,LF_Knee,3,can0,-0.992019,-1.060000,0.000000,0.000000,0,0,0
